幸福小区,26.372743,106.675224,
花溪机械厂家属宿舍14栋,26.372592,106.679088,
贵州财经大学花溪校区翠竹苑,26.378789,106.647628,
贵州财经大学花溪校区翠竹苑-1栋,26.377751,106.647431,
贵州财经大学花溪校区樱花苑-3栋,26.378598,106.648984,
贵州财经大学花溪校区樱花苑,26.37891,106.649848,
学生宿舍8,26.382755,106.633225,
贵州医科大学(花溪校区)东区-3栋,26.379031,106.641711,
贵州财经大学花溪校区翠竹苑-3栋,26.379894,106.647668,
贵州医科大学(花溪校区)东区-1栋,26.380711,106.644003,
贵州财经大学花溪校区樱花苑-2栋,26.379449,106.65052,
贵州财经大学花溪校区樱花苑-1栋,26.379602,106.649402,
贵阳中医学院花溪校区男生宿舍J1楼,26.387865,106.629295,
贵阳中医学院花溪校区杏园3栋,26.386349,106.630419,
九栋宿舍楼,26.384209,106.633093,
贵阳中医学院花溪校区杏园2栋,26.387014,106.630705,
南溪苑,26.388003,106.688987,
贵阳中医学院花溪校区橘园3号,26.392387,106.626144,
贵州师范大学花溪新校区二号学生生活区,26.392284,106.642881,
桐木岭村,26.38851,106.686454,
贵阳中医学院H1宿舍(杏园1),26.392858,106.624261,
贵阳中医学院花溪校区H4宿舍楼,26.393363,106.624487,
贵阳中医学院花溪校区橘园1栋,26.393031,106.624397,
贵阳中医学院花溪校区H2宿舍楼,26.392998,106.625942,
贵州轻工职业技术学院-教师公寓,26.395565,106.632965,
贵州师范大学花溪校区修身苑,26.393181,106.638926,
贵州师范大学花溪校区15栋宿舍楼,26.393847,106.641969,
贵州师范大学花溪校区正心苑,26.393869,106.639738,
贵州大学明德学院北组团4号楼,26.400182,106.645483,
上板幸福小区,26.397872,106.6644,
关口寨安置小区,26.40038,106.677711,
云上小区,26.400399,106.687583,
大坝井小区,26.410429,106.626904,
险峰苑,26.408968,106.677516,
腾辉苑,26.41066,106.753847,
康城花溪,26.413269,106.682915,
贵阳矿灯厂住宅区,26.412095,106.682447,
矿灯厂宿舍区,26.412247,106.683772,
三五三七小区,26.415111,106.685485,
三五三七小区-治安巡逻室,26.415061,106.685059,
花溪区孟关乡苏家寨安置房小区,26.412924,106.744233,
贵阳国际汽贸城棚户区,26.411305,106.752294,
思源溪谷,26.419758,106.651284,
保利溪湖,26.415358,106.668164,
印象花溪项目,26.417583,106.673713,
榕筑南溪绿园,26.416868,106.679468,
阳光花园,26.415836,106.681894,
丰衢花园,26.415359,106.681732,
鹏程汽车装饰(三五三七小区西北),26.417831,106.684127,
3537厂生活小区,26.41568,106.685887,
洛平新城,26.422162,106.664242,
羊昌坝小区(南门),26.424055,106.66639,
羊昌坝小区-9栋,26.424363,106.666013,
香菜苑,26.423227,106.677211,
