贵州城市职业学院,26.371939,106.645614
贵州城市职业学院南区,26.373218,106.646002
南溪学校,26.370794,106.675344
贵州民族大学人文科技学院大学(城校区),26.375726,106.640462
贵州民族大学(新校区),26.380753,106.626312
贵州医科大学(Apple授权经销商),26.382644,106.638553
贵州医科大学花溪校区医鉴楼,26.38343,106.63671
贵州医科大学(花溪校区)东区,26.382335,106.64192
贵州医科大学(花溪校区)东区-广德楼,26.382959,106.641484
贵州医科大学(花溪校区)东区-九思楼,26.382891,106.643137
贵州医科大学-7号教学楼,26.383245,106.643562
贵阳医学院-4号教学楼,26.383209,106.643183
贵州医科大学-基础医学院,26.383179,106.639763
贵州医科大学-基础医学研究中心,26.38318,106.639763
贵州财经大学花溪校区笃行楼-A栋,26.38276,106.646788
贵州财经大学花溪校区-笃行楼,26.382767,106.646984
贵州医科大学(花溪校区)东区-明理楼,26.382966,106.644045
贵州财经大学花溪校区-修德楼,26.380968,106.647125
贵州财经大学花溪校区笃行楼-A楼,26.382785,106.646462
贵州财经大学花溪校区-志学楼,26.382035,106.647685
贵州财经大学花溪校区笃行楼-B栋,26.381903,106.646804
贵州财经大学(花溪校区)-外国语学院,26.382268,106.648056
贵州财经大学(花溪校区)-工商管理学院,26.382268,106.648055
贵州财经大学花溪校区-实验教学部,26.382024,106.646451
贵州财经大学花溪校区-进德楼,26.38314,106.648967
贵州财经大学花溪校区竹香园,26.37986,106.648609
贵阳中医学院花溪校区男生宿舍J1楼,26.387865,106.629295
贵阳中医学院花溪新校区南区-四号教学楼,26.387204,106.627505
贵州医科大学宏远楼,26.386432,106.632669
贵州医科大学(花溪校区)西区,26.384485,106.635331
贵州师范大学新校区-外国语学院,26.387439,106.63803
贵州师范大学新校区-国际旅游文化学院,26.387663,106.638099
贵州师范大学新校区-历史与政治学院,26.387178,106.638679
贵州师范大学新校区大学(外语教学部),26.386952,106.639116
贵州医科大学(花溪校区)西区-酬勤楼,26.383897,106.635406
贵州师范大学物理与电子科学学院,26.386338,106.641321
贵州师范大学新校区-生命科学学院,26.386388,106.642687
贵州师范大学花溪校区-材料与建筑工程学院,26.387207,106.642565
贵州师范大学花溪校区-教育科学学院,26.387172,106.641459
贵州师范大学花溪校区-地理与环境科学学院,26.386648,106.639865
贵州医科大学-6号教学楼,26.384131,106.643491
贵阳医学院-5号教学楼,26.384129,106.643204
贵州师范大学花溪校区-马克思主义学院,26.386697,106.639337
贵州医科大学(花溪校区)-东区格物楼,26.383879,106.643127
贵州医科大学(花溪校区)东区-博雅楼,26.383932,106.643512
贵州师范大学花溪校区网络与信息中心,26.387967,106.641442
贵州医科大学-厚德楼,26.384304,106.641937
贵州师范大学花溪校区-理科综合实验楼,26.386867,106.644599
贵州师范大学花溪校区-化学与材料科学学院,26.386392,106.643871
贵州财经大学花溪校区-崇德楼,26.384597,106.647144
贵州师范大学新校区-机械与电气工程学院,26.387786,106.644608
贵州师范大学新校区-职业技术学院,26.387223,106.643859
贵州财经大学花溪校区-明德楼,26.383736,106.6471
贵州财经大学(花溪校区),26.384099,106.648746
贵州财经大学花溪校区-乐学楼,26.386859,106.650922
贵州财经大学花溪校区-励学楼,26.386871,106.650548
