城市方舟,26.572068,106.717183
特兴·青云都汇,26.571177,106.718479
裕阳大厦,26.571575,106.719934
青云巷5号院,26.570435,106.719456
青云巷6号院,26.570276,106.718653
兴关路62号院,26.570044,106.719312
广电宿舍,26.573254,106.716675
庆丰碧玉楼,26.572308,106.721001
贵州省轻坊工业设计院宿舍,26.570504,106.719472
青云巷4号院,26.570799,106.718858
青云巷1号院,26.57082,106.719355
贵州省轻坊工业设计院宿舍-北门,26.570746,106.719254
锦馥物业小区-西北门,26.570009,106.720023
兴关路36号院,26.5709,106.719747
金熙府,26.570583,106.72397
君悦华庭,26.571498,106.724664
神奇路社区,26.571323,106.72137
兴隆社区,26.573441,106.723579
青云小区停车场-出入口,26.570169,106.724424
南明区公安局宿舍,26.573918,106.723354
瑞金南路348号院,26.571779,106.722623
轻供局宿舍,26.571451,106.72155
彭家花园,26.571628,106.724003
凯福糖果厂宿舍,26.570494,106.721557
轻供局宿舍-东北门,26.571605,106.721788
青云小区-北门,26.570153,106.724273
新华路66号院,26.573537,106.725355
岑家花园,26.571572,106.726276
九中教师宿舍,26.573539,106.726585
环科院宿舍,26.572503,106.726043
九中教师宿舍-西门,26.572696,106.725749
贵州省委-7号楼,26.572442,106.727858
省委机关平安小区-14幢,26.574082,106.729822
新华路小区,26.571573,106.725911
在水一方花园,26.571872,106.731973
省委机关平安小区,26.573829,106.73227
平安小区-北门,26.572526,106.733875
省委机关平安小区-西门,26.573733,106.731472
省委机关平安小区-10幢,26.572771,106.730602
省委机关平安小区-35幢,26.573596,106.732647
省委机关平安小区-2幢,26.573625,106.732078
食味坊(贵钢虹桥状元小区北),26.572239,106.733193
贵州省委机关小区(南门),26.573766,106.731369
省委机关平安小区5幢,26.573791,106.732924
省委机关平安小区-25幢,26.574286,106.730553
省委机关平安小区-3幢,26.574532,106.730378
省委机关平安小区-29幢,26.573857,106.731085
省委机关平安小区-南门,26.573342,106.732743
省委机关平安小区-28幢,26.574009,106.730896
省委机关平安小区-6幢,26.573393,106.733076
省委机关平安小区-33幢,26.57336,106.731104
省委机关平安小区-30幢,26.573691,106.731271
依水丽都,26.578284,106.716947
博爱公寓,26.577977,106.717993
水云轩,26.577681,106.717367
汇灵巷17号院落,26.577675,106.718707
依水丽都-B栋,26.578099,106.717085
依水丽都-A栋,26.578438,106.716738
恒丰·一品,26.578356,106.722315
宏业大厦,26.57522,106.723232
乌江馨苑,26.574611,106.723263
南浦大厦,26.574684,106.722037
全林国际广场-C栋,26.578195,106.723686
康发花园,26.575592,106.724841
翠微巷10号院,26.576228,106.72556
米市巷12号院,26.574814,106.722356
观水兰庭,26.577334,106.729925
西湖花园小区(西湖路),26.577842,106.727574
贵州省气象局-宿舍,26.577726,106.729186
山水园,26.576301,106.728258
西湖巷3号院,26.5787,106.726332
水利厅宿舍-东门,26.574722,106.727253
观水路6号院,26.576077,106.72839
贵州省气象局宿舍-西北门,26.577485,106.728712
贵州省委机关小区(北门),26.575634,106.729963
水利厅设计院宿舍,26.574904,106.72716
贵阳市规划局宿舍,26.577258,106.727862
贵阳市规划局宿舍-西门,26.57733,106.727668
南明东路十五号小区-西门,26.575888,106.730166
盛世花城,26.578925,106.732324
中科嘉园,26.576424,106.734761
